City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,afaahiti,-17.75,-149.2833,25.61,83,83,6.31,PF,1732592088
83,papao,-17.75,-149.55,28.82,78,65,6.29,PF,1732592088
84,papatowai,-46.5619,169.4708,16.14,53,47,6.36,NZ,1732592088
85,al qusayr,34.5091,36.5798,2.14,99,100,0.61,SY,1732592088
86,point pedro,9.8167,80.2333,24.95,92,100,8.57,LK,1732592088
87,puerto real,36.5282,-6.1901,11.07,87,100,2.68,ES,1732592088
88,buritizeiro,-17.3511,-44.9622,20.37,80,89,1.37,BR,1732592088
89,abadeh,31.1608,52.6506,8.08,75,4,3.27,IR,1732592088
90,al jawf,29.5,38.75,8.69,56,0,3.45,SA,1732592089
91,madingou,-4.1536,13.55,22.3,99,100,0.7,CG,1732592089
92,neelankarai,12.9455,80.2575,26.07,93,75,3.6,IN,1732592089
93,coquimbo,-29.9533,-71.3436,14.85,82,0,1.03,CL,1732592089
94,riasi,33.0833,74.8333,16.22,65,2,1.56,IN,1732592089
95,moose jaw,50.4001,-105.5344,-17.86,85,59,2.06,CA,1732592089
96,calliope,-24.0,151.2,28.91,54,40,7.2,AU,1732592090
97,lompoc,34.6391,-120.4579,14.23,83,100,9.26,US,1732591941
98,fort bragg,35.139,-79.006,12.75,83,12,4.2,US,1732592090
99,hilo,19.7297,-155.09,24.85,84,75,3.09,US,1732592090
100,utrik,11.2278,169.8474,28.35,81,52,8.69,MH,1732592090
101,kampene,-3.6,26.6667,19.4,100,99,0.37,CD,1732592090
102,punta arenas,-53.15,-70.9167,9.06,76,20,4.12,CL,1732591862
103,cha grande,-8.2383,-35.4617,19.69,93,91,0.41,BR,1732592090
104,broken hill,-31.95,141.4333,32.95,27,74,7.9,AU,1732592090
105,miri,4.4148,114.0089,30.08,79,40,0.51,MY,1732592091
106,wewak,-3.5534,143.6268,30.18,67,98,1.95,PG,1732592091
107,vila velha,-20.3297,-40.2925,21.97,83,75,0.0,BR,1732591821
108,margaret river,-33.95,115.0667,17.29,46,6,7.38,AU,1732592091
109,grootfontein,-19.5667,18.1167,21.37,56,22,2.94,NA,1732592091
110,nar'yan-mar,67.6713,53.087,1.36,96,100,12.52,RU,1732592092
111,gueret,46.1667,1.8667,8.15,87,100,3.15,FR,1732592092
112,ouro preto do oeste,-10.7481,-62.2158,22.62,96,16,1.36,BR,1732592092
113,vila do maio,15.1333,-23.2167,24.92,75,11,6.05,CV,1732592092
114,cavelossim,15.1726,73.9419,23.99,51,96,4.0,IN,1732592092
115,atafu village,-8.5421,-172.5159,28.93,74,5,7.8,TK,1732592092
116,phillip island,-38.4835,145.231,17.83,92,56,4.52,AU,1732592092
117,bredasdorp,-34.5322,20.0403,15.55,54,93,6.85,ZA,1732592053
118,magdagachi,53.45,125.8,-6.8,91,100,3.73,RU,1732592093
119,uturoa,-16.7333,-151.4333,26.96,79,81,5.18,PF,1732592093
120,port hedland,-20.3167,118.5667,34.03,49,91,7.2,AU,1732592093
121,vilyuchinsk,52.9306,158.4028,3.15,80,100,4.41,RU,1732592093
122,lihue,21.9789,-159.3672,25.77,70,0,7.72,US,1732592093
123,barrouallie,13.2333,-61.2667,25.13,80,17,5.5,VC,1732592093
124,north side,19.35,-81.2,27.04,93,20,4.63,KY,1732592083
125,tofol,5.3248,163.0078,31.88,66,75,4.12,FM,1732592093
126,guerrero negro,27.9769,-114.0611,17.47,80,100,4.39,MX,1732592093
127,umarkot,25.3616,69.7362,26.14,25,0,1.88,PK,1732592094
128,thompson,55.7435,-97.8558,-11.91,85,100,3.6,CA,1732592094
129,kerikeri,-35.2268,173.9474,21.33,54,41,1.84,NZ,1732592094
130,chibougamau,49.9168,-74.3659,-3.21,100,100,1.03,CA,1732591990
131,la maddalena,41.2142,9.4083,15.65,72,43,4.77,IT,1732592094
132,vijayawada,16.5167,80.6167,25.97,61,40,3.09,IN,1732592094
133,kailua-kona,19.6406,-155.9956,26.98,65,0,2.57,US,1732592095
134,murwillumbah,-28.3167,153.4,27.31,69,64,6.69,AU,1732592095
135,sinabang,2.4803,96.3801,24.77,95,100,0.43,ID,1732592095
136,vila franca do campo,37.7167,-25.4333,19.23,99,88,6.41,PT,1732592095
137,dalianwan,39.0286,121.695,0.02,80,100,2.0,CN,1732592095
